text,label
Yılanlardan korkarım.,korku
"Kesici aletlerden (Bıçak, makas, ustura vb.) korkarım.",korku
"Karanlıktan, korku filmlerinden ve sınavdan düşük almaktan.",korku
Yalnız kalmaktan.,korku
"Sevdiğim insan , hayvan ya da eşyaya zarar gelmesinden ve benim yüzümden birisinin üzülmesinden korkarım.",korku
"yalnızlık. Ama bu yalnızlık kalabalıklar içindeki insanın yalnızlığı.
      O yalnızlıkta ölümü daha derinden hissediyorum.
      Ve de çaresizliği hissettiğim için.",korku
evde yalnızken birden elektrikler kesildi ve çok korktum.,korku
Arabayla giderken yan sokaktan aniden araba çıkmıştı.,korku
Bazı sınavlarda stres oluyorum.,korku
Allah tan başka kimseden korkmam,korku
Kedileri sevmiyorum hatta fobim var hate kediler,korku
İzlediğim bir videodan korkmuştum.,korku
Korku filmi izlediğimde korkarım.,korku
Köpekten korkarım.,korku
Bir depo benzine 1000? veriyordum. Arabaya geçip ağladım. Kabus görmüşüm bildiğin,korku
Sınavlardan önce korkarım.,korku
Uzun süren aralar endişe verici.,korku
Köpek tarafından kovalandığımda korkarım.,korku
İlk kar yağdığında yollar o kadar buz tutuyor ki araba sürmenin buz pateniyle kaymaktan farkı kalmıyor kaza yapacam diye korkuyorum,korku
"uzun, ıssız ve karanlık bir yolda yürümekten pek haz duymam",korku
Evde tek başımayken tuvalete girmeye korkarım.,korku
ameliyat olacağım zaman korkmuştum.,korku
Coğrafya sınavlarından.,korku
Rüya gibi gibiydi. Sonra kabus oldu. Uyanmam lazım.,korku
Örümcek gördüğümde.,korku
Kan gördüğümde.,korku
Evde yalnızken izlediğim korku filminin akabinde elektriklerin kesilmesinden korktum.,korku
Sporda sakatlanmaktan korkuyorum.,korku
Yüksek bir yerden Aşağıya bakmak beni çok korkutur.,korku
İnsanların geleceği için korkuyorum.,korku
Birden bağıran insanlar.,korku
Köpek kovalamıştı.,korku
Kaybolduğumda korkarım.,korku
Tuvaletteyken annemin kapıyı açmaması.,korku
Tuhaf sesler duyduğum zaman.,korku
Proje sunumumun geldiği halde hala bizim projenin bitmemiş olması.,korku
Sınavlara en ön sırada girme fobim var,korku
Her zaman gittiğim komşumuzun evine uyanıklık yapıp kestirme yoldan gitmeye çalışırken köpekler etrafımı sardığında gerçekten çok korkmuştum,korku
Bir gün beni 30 40 arası arı kovalamıştı ve bazıları da soktu.,korku
Spagetti hariç diğer makarna şekillerine karşı fobim var.,korku
annemi arı soktuğunda ve her tarafı morardığında çok endişelenmiştim,korku
Tüm sınavlardan korkarım.,korku
Ani olan sınavlar.,korku
Sessiz bir ortamda aniden duyduğum bir ses.,korku
gece uyurken şimşek çakması,korku
Gece ışıklar kapalı iken annemin aniden karşıma çıkması.,korku
Final'i okuyunca bi irkildim 2 hafta kaldı,korku
Köpek saldırması.,korku
Demin deprem olduğunu sandım ödüm koptu ellerim çok titriyor korkudan ya,korku
Babam kalp krizi geçirdiği zaman ölmesinden korktum.,korku
Yüksekten korkarım.,korku
Gerçekten çok yazılıp çizildi ürktüm şahsen,korku
Kopya çektiğim sınavda hoca yanıma geldi.,korku
ilk ata binişim beni korkuttu,korku
Deprem olduğunda korktum.,korku
Üniversite sınavında tıp kazanamamaktan korkuyorum.,korku
Ani hareketler ve sesler.,korku
ailemi kaybedeceğimi düşündüğüm zaman korkmuştum.,korku
Aileme bir zarar gelmesi.,korku
ingilizce dersleri fobim oldu,korku
inli cinli film izleyince çok korkuyorum.,korku
Polonya'da doğalgaz boru hattında patlama,korku
deprem olduğunda çok korkmuştum,korku
Arkadaşlarımın 3 harfliler ile ilgili gerçekmiş gibi anlattıkları hikayeden korktum. Sonra şaka olduğunu öğrendim.,korku
Spordan her geldiğimde boyum kısalmış mıdır diye korkuyorum neden amk,korku
Evde otururken birden elektrikler kesildi.,korku
Metrodayken altından dumanlar çıkmaya başlamıştı. O zaman çok korkmuştum.,korku
Küçükken pazarda kaybolmuştum.,korku
"Trafik kazası geçirmek üzereydik, o zaman çok korkmuştum.",korku
Uçaktan inince herkesin önüne geçmek gibi bir hata yaptım arkamda 100 kişi var yanlış yöne gideceğim diye ödüm koptu,korku
Sınavlar.,korku
Erken yaşta ölmekten korkarım.,korku
Bana doğru koşarak gelen köpek gördüğümde korkarım.,korku
Hiç bilmediğim bir yerde kaybolmaktan korkarım.,korku
Alt dairemizde yangın çıkmıştı.,korku
Okulda sınavlardan korkarım.,korku
UÇAKTA BİR AN NEFES ALAMAYINCA ÇOK KORKTUM VE SİGARAYI BIRAKTIM,korku
Bakın herkes endişeli gençlik eriyor,korku
her yaz gece üçte kuzenim uyuyakalmış olsa bile korku filmi izlemek en büyük korku benim için,korku
Trafik kazasından korkarım.,korku
Hepimize format atacaklar diye çok korkuyorum,korku
Sahip olduğum yada alıştığım kişiyi kaybetmek beni korkutur.,korku
Odamda tek başımaydım bir anda elektrikler gitti ödüm koptu,korku
Gece korku hikayeleri anlatılması.,korku
Annemden sakladığım bir şeyi annem öğrenecek diye çok korkmuştum.,korku
Sakatlanmaktan korkarım.,korku
Gece garip sesler duyduğumda çok korktum..,korku
Kapalı alanda duramama fobim var çünkü sigara içiyorum,korku
Matematik ve fizik sınavları.,korku
Her sınav öncesi korkarım.,korku
Karanlık ve yükseklik beni korkutuyor.,korku
Sınavlardan korkarım.,korku
Hızla bir köpeğin bana doğru gelmesi.,korku
Hayaller hep ürkütücü oldu.. ne zaman neyin güzel olacağını hayal etsem hep olduğundan daha kötüsü oldu...,korku
gece evde sesler duyunca çok korkarım,korku
Bu hafta kabus gibi bir hafta. Bütün branşlarda yenilmişiz,korku
"timeline bildiğin boş sokak gibi, bakınca endişelendim adeta.",korku
Anaokulunda iken parkta dönme dolaptan düşünce çok korktum.,korku
Benzin tekrar 5 TL olacak diye çok korkuyorum.,korku
Fransa'da nükleer santraldeki patlama nükleer alanda değil makine dairesinde meydana geldi. Düşüncesi bile ürkütücü.,korku
Kızımın çok emek vermesine rağmen üniversite sınavında başarısız olma ihtimali beni korkutuyor.,korku
"Görüntüler ürkütücü, umarız hayati tehlike yoktur.",korku
Korku filmi izlerken.,korku
İlk kez panik atak geçirdiğimde çok korktum.,korku
